id,district,year_built,year_range
way/102169324,Altstadt,1869,1850-1950
way/102169325,Altstadt,1913,1850-1950
way/102169326,Altstadt,1854,1850-1950
way/102169327,Altstadt,1866,1850-1950
way/102169328,Altstadt,1914,1850-1950
way/102169329,Altstadt,1925,1850-1950
way/102169331,Altstadt,1892,1850-1950
way/102169332,Altstadt,1862,1850-1950
way/102169334,Altstadt,1906,1850-1950
way/102169336,Altstadt,1862,1850-1950
way/102169338,Altstadt,1917,1850-1950
way/102169339,Altstadt,1908,1850-1950
way/102169340,Altstadt,1851,1850-1950
way/102175030,Altstadt,1942,1850-1950
way/105700554,Altstadt,1868,1850-1950
way/105700555,Altstadt,1902,1850-1950
way/105700556,Altstadt,1933,1850-1950
way/105700557,Altstadt,1869,1850-1950
way/105700558,Altstadt,1859,1850-1950
way/105700560,Altstadt,1910,1850-1950
way/105700561,Altstadt,1950,1850-1950
way/107709262,Altstadt,1883,1850-1950
way/109074548,Altstadt,1893,1850-1950
way/109074551,Altstadt,1929,1850-1950
way/109074554,Altstadt,1938,1850-1950
way/110518772,Altstadt,1900,1850-1950
way/110518774,Altstadt,1933,1850-1950
way/110518775,Altstadt,1860,1850-1950
way/110927114,Altstadt,1892,1850-1950
way/110927115,Altstadt,1936,1850-1950
way/110927117,Altstadt,1918,1850-1950
way/110927119,Altstadt,1898,1850-1950
way/110927127,Altstadt,1890,1850-1950
way/110927129,Altstadt,1930,1850-1950
way/110927130,Altstadt,1941,1850-1950
way/110927133,Altstadt,1947,1850-1950
way/111265518,Altstadt,1912,1850-1950
way/111845808,Altstadt,1919,1850-1950
way/111845809,Altstadt,1854,1850-1950
way/113617584,Altstadt,1929,1850-1950
way/113617586,Altstadt,1858,1850-1950
way/113617587,Altstadt,1880,1850-1950
way/114011879,Altstadt,1930,1850-1950
way/114687527,Altstadt,1937,1850-1950
way/114687528,Altstadt,1886,1850-1950
way/115421108,Altstadt,1879,1850-1950
way/115421109,Altstadt,1945,1850-1950
way/121935980,Altstadt,1861,1850-1950
way/122628380,Altstadt,1905,1850-1950
way/129031240,Altstadt,1862,1850-1950
way/129100524,Altstadt,1947,1850-1950
way/129101675,Altstadt,1931,1850-1950
way/129833342,Altstadt,1940,1850-1950
way/129833343,Altstadt,1862,1850-1950
way/129833344,Altstadt,1906,1850-1950
way/129833350,Altstadt,1871,1850-1950
way/129833351,Altstadt,1938,1850-1950
way/129846241,Altstadt,1888,1850-1950
way/129846242,Altstadt,1853,1850-1950
way/129846243,Altstadt,1855,1850-1950
way/129846244,Altstadt,1891,1850-1950
way/129846245,Altstadt,1857,1850-1950
way/129851865,Altstadt,1887,1850-1950
way/129851867,Altstadt,1895,1850-1950
way/129851868,Altstadt,1897,1850-1950
way/129851869,Altstadt,1905,1850-1950
way/129858925,Altstadt,1868,1850-1950
way/129858926,Altstadt,1881,1850-1950
way/129858928,Altstadt,1917,1850-1950
way/129858930,Altstadt,1902,1850-1950
way/129858931,Altstadt,1922,1850-1950
way/129858932,Altstadt,1937,1850-1950
way/129859291,Altstadt,1873,1850-1950
way/129859292,Altstadt,1871,1850-1950
way/129859293,Altstadt,1872,1850-1950
way/129859294,Altstadt,1860,1850-1950
way/129859421,Altstadt,1928,1850-1950
way/129863883,Altstadt,1898,1850-1950
way/129863884,Altstadt,1929,1850-1950
way/129864001,Altstadt,1937,1850-1950
way/129870728,Altstadt,1880,1850-1950
way/130877771,Altstadt,1913,1850-1950
way/130877772,Altstadt,1924,1850-1950
way/130877777,Altstadt,1868,1850-1950
way/130997212,Altstadt,1879,1850-1950
way/131016343,Altstadt,1909,1850-1950
way/131232252,Altstadt,1931,1850-1950
way/131232253,Altstadt,1882,1850-1950
way/131232254,Altstadt,1908,1850-1950
way/131232257,Altstadt,1882,1850-1950
way/131232261,Altstadt,1935,1850-1950
way/131232262,Altstadt,1851,1850-1950
way/131232263,Altstadt,1909,1850-1950
way/131232264,Altstadt,1886,1850-1950
way/131232267,Altstadt,1936,1850-1950
way/131232571,Altstadt,1919,1850-1950
way/131232572,Altstadt,1870,1850-1950
way/131543379,Altstadt,1859,1850-1950
way/131543380,Altstadt,1906,1850-1950
way/131651825,Altstadt,1894,1850-1950
way/131651826,Altstadt,1925,1850-1950
way/131651827,Altstadt,1888,1850-1950
way/131651828,Altstadt,1931,1850-1950
way/131890285,Altstadt,1904,1850-1950
way/131913995,Altstadt,1938,1850-1950
way/132329529,Altstadt,1882,1850-1950
way/132329536,Altstadt,1908,1850-1950
way/132329542,Altstadt,1888,1850-1950
way/132329546,Altstadt,1875,1850-1950
way/132405287,Altstadt,1899,1850-1950
way/133132105,Altstadt,1911,1850-1950
way/133637226,Altstadt,1863,1850-1950
way/133637227,Altstadt,1880,1850-1950
way/133637228,Altstadt,1898,1850-1950
way/135784397,Altstadt,1923,1850-1950
way/135784400,Altstadt,1895,1850-1950
way/135784403,Altstadt,1923,1850-1950
way/135784405,Altstadt,1887,1850-1950
way/135784417,Altstadt,1939,1850-1950
way/135784418,Altstadt,1887,1850-1950
way/135784421,Altstadt,1852,1850-1950
way/135784422,Altstadt,1934,1850-1950
way/135784424,Altstadt,1900,1850-1950
way/135784425,Altstadt,1885,1850-1950
way/135784426,Altstadt,1851,1850-1950
way/135786922,Altstadt,1922,1850-1950
way/136413966,Altstadt,1937,1850-1950
way/136413967,Altstadt,1949,1850-1950
way/136413969,Altstadt,1945,1850-1950
way/136413973,Altstadt,1856,1850-1950
way/136413974,Altstadt,1927,1850-1950
way/136491247,Altstadt,1945,1850-1950
way/136491248,Altstadt,1913,1850-1950
way/136491252,Altstadt,1886,1850-1950
way/136491253,Altstadt,1949,1850-1950
way/136491254,Altstadt,1879,1850-1950
way/136491255,Altstadt,1927,1850-1950
way/136491256,Altstadt,1895,1850-1950
way/136491257,Altstadt,1878,1850-1950
way/136491258,Altstadt,1931,1850-1950
way/136491259,Altstadt,1874,1850-1950
way/136491260,Altstadt,1929,1850-1950
way/136491261,Altstadt,1882,1850-1950
way/136491262,Altstadt,1936,1850-1950
way/136491263,Altstadt,1946,1850-1950
way/136491264,Altstadt,1942,1850-1950
way/136491266,Altstadt,1948,1850-1950
way/136491267,Altstadt,1934,1850-1950
way/136491270,Altstadt,1937,1850-1950
way/136491274,Altstadt,1867,1850-1950
way/136491276,Altstadt,1930,1850-1950
way/136491291,Altstadt,1862,1850-1950
way/136491293,Altstadt,1930,1850-1950
way/136491295,Altstadt,1932,1850-1950
way/136491296,Altstadt,1855,1850-1950
way/136491297,Altstadt,1889,1850-1950
way/136491299,Altstadt,1950,1850-1950
way/136491300,Altstadt,1906,1850-1950
way/136491301,Altstadt,1854,1850-1950
way/136491303,Altstadt,1924,1850-1950
way/136491305,Altstadt,1896,1850-1950
way/136491306,Altstadt,1943,1850-1950
way/136491307,Altstadt,1866,1850-1950
way/136491308,Altstadt,1861,1850-1950
way/136938712,Altstadt,1887,1850-1950
way/138791630,Altstadt,1891,1850-1950
way/140743380,Altstadt,1945,1850-1950
way/141206229,Altstadt,1903,1850-1950
way/141206230,Altstadt,1872,1850-1950
way/141206231,Altstadt,1875,1850-1950
way/141230390,Altstadt,1866,1850-1950
way/141241827,Altstadt,1950,1850-1950
way/141244654,Altstadt,1919,1850-1950
way/142190693,Altstadt,1896,1850-1950
way/142190701,Altstadt,1917,1850-1950
way/142190707,Altstadt,1914,1850-1950
way/142190720,Altstadt,1884,1850-1950
way/142190732,Altstadt,1871,1850-1950
way/142387051,Altstadt,1882,1850-1950
way/142505418,Altstadt,1911,1850-1950
way/142505419,Altstadt,1887,1850-1950
way/142505436,Altstadt,1945,1850-1950
way/142820042,Altstadt,1893,1850-1950
way/142820043,Altstadt,1864,1850-1950
way/142820044,Altstadt,1909,1850-1950
way/143413026,Altstadt,1859,1850-1950
way/143856643,Altstadt,1868,1850-1950
way/144249899,Altstadt,1946,1850-1950
way/144249902,Altstadt,1878,1850-1950
way/144249904,Altstadt,1936,1850-1950
way/144249905,Altstadt,1942,1850-1950
way/144249906,Altstadt,1936,1850-1950
way/144249907,Altstadt,1900,1850-1950
way/144249909,Altstadt,1921,1850-1950
way/144249910,Altstadt,1896,1850-1950
way/144249911,Altstadt,1861,1850-1950
way/144249912,Altstadt,1900,1850-1950
way/144249913,Altstadt,1851,1850-1950
way/144261273,Altstadt,1883,1850-1950
way/144261274,Altstadt,1918,1850-1950
way/144261276,Altstadt,1865,1850-1950
way/144261279,Altstadt,1908,1850-1950
way/144261283,Altstadt,1897,1850-1950
way/144270662,Altstadt,1936,1850-1950
way/144270663,Altstadt,1945,1850-1950
way/144276970,Altstadt,1936,1850-1950
way/144276972,Altstadt,1883,1850-1950
way/144276974,Altstadt,1924,1850-1950
way/144276975,Altstadt,1898,1850-1950
way/144276976,Altstadt,1931,1850-1950
way/144276977,Altstadt,1897,1850-1950
way/144276978,Altstadt,1863,1850-1950
way/144276981,Altstadt,1936,1850-1950
way/144276982,Altstadt,1879,1850-1950
way/144276983,Altstadt,1910,1850-1950
way/144276984,Altstadt,1853,1850-1950
way/144276985,Altstadt,1929,1850-1950
way/144276987,Altstadt,1921,1850-1950
way/144276988,Altstadt,1891,1850-1950
way/144276989,Altstadt,1928,1850-1950
way/144276991,Altstadt,1878,1850-1950
way/144277507,Altstadt,1932,1850-1950
way/144277517,Altstadt,1858,1850-1950
way/144886425,Altstadt,1931,1850-1950
way/144886426,Altstadt,1909,1850-1950
way/144886427,Altstadt,1939,1850-1950
way/144905099,Altstadt,1888,1850-1950
way/144905100,Altstadt,1933,1850-1950
way/144905102,Altstadt,1902,1850-1950
way/144905103,Altstadt,1864,1850-1950
way/144905104,Altstadt,1867,1850-1950
way/144905105,Altstadt,1855,1850-1950
way/144905109,Altstadt,1854,1850-1950
way/144905112,Altstadt,1888,1850-1950
way/144988698,Altstadt,1913,1850-1950
way/144988700,Altstadt,1864,1850-1950
way/144988701,Altstadt,1862,1850-1950
way/145035079,Altstadt,1880,1850-1950
way/145261441,Altstadt,1918,1850-1950
way/145261465,Altstadt,1867,1850-1950
way/148226589,Altstadt,1899,1850-1950
way/148581394,Altstadt,1908,1850-1950
way/148581395,Altstadt,1897,1850-1950
way/148581396,Altstadt,1935,1850-1950
way/148581397,Altstadt,1945,1850-1950
way/148581398,Altstadt,1939,1850-1950
way/148581399,Altstadt,1919,1850-1950
way/148581400,Altstadt,1903,1850-1950
way/148581401,Altstadt,1925,1850-1950
way/148581402,Altstadt,1945,1850-1950
way/148581403,Altstadt,1943,1850-1950
way/148581404,Altstadt,1869,1850-1950
way/148581405,Altstadt,1903,1850-1950
way/148585286,Altstadt,1933,1850-1950
way/148585287,Altstadt,1862,1850-1950
way/148585288,Altstadt,1912,1850-1950
way/148585289,Altstadt,1928,1850-1950
way/148585290,Altstadt,1902,1850-1950
way/148585291,Altstadt,1885,1850-1950
way/148585292,Altstadt,1854,1850-1950
way/148585293,Altstadt,1938,1850-1950
way/148585294,Altstadt,1897,1850-1950
way/148585295,Altstadt,1877,1850-1950
way/148585296,Altstadt,1906,1850-1950
way/148585297,Altstadt,1906,1850-1950
way/148585298,Altstadt,1880,1850-1950
way/148585299,Altstadt,1896,1850-1950
way/148585300,Altstadt,1862,1850-1950
way/148585301,Altstadt,1937,1850-1950
way/148585302,Altstadt,1897,1850-1950
way/148585303,Altstadt,1919,1850-1950
way/148585304,Altstadt,1932,1850-1950
way/148585305,Altstadt,1895,1850-1950
way/148585306,Altstadt,1857,1850-1950
way/148585307,Altstadt,1900,1850-1950
way/148585308,Altstadt,1885,1850-1950
way/148585309,Altstadt,1874,1850-1950
way/148585310,Altstadt,1865,1850-1950
way/148585311,Altstadt,1908,1850-1950
way/148585312,Altstadt,1861,1850-1950
way/148585313,Altstadt,1934,1850-1950
way/148585314,Altstadt,1877,1850-1950
way/148585315,Altstadt,1932,1850-1950
way/148585316,Altstadt,1931,1850-1950
way/148585317,Altstadt,1926,1850-1950
way/149599795,Altstadt,1852,1850-1950
way/149599796,Altstadt,1856,1850-1950
way/149599797,Altstadt,1950,1850-1950
way/149599798,Altstadt,1892,1850-1950
way/149599799,Altstadt,1881,1850-1950
way/149599800,Altstadt,1866,1850-1950
way/149599801,Altstadt,1950,1850-1950
way/149599802,Altstadt,1922,1850-1950
way/149599803,Altstadt,1876,1850-1950
way/149730060,Altstadt,1858,1850-1950
way/149730061,Altstadt,1947,1850-1950
way/149730062,Altstadt,1920,1850-1950
way/149730063,Altstadt,1876,1850-1950
way/149748773,Altstadt,1925,1850-1950
way/149748775,Altstadt,1877,1850-1950
way/149748776,Altstadt,1879,1850-1950
way/150189641,Altstadt,1892,1850-1950
way/150193242,Altstadt,1949,1850-1950
way/150193244,Altstadt,1868,1850-1950
way/150193248,Altstadt,1950,1850-1950
way/150193250,Altstadt,1926,1850-1950
way/150196019,Altstadt,1850,1850-1950
way/150196020,Altstadt,1885,1850-1950
way/150196021,Altstadt,1868,1850-1950
way/150196023,Altstadt,1866,1850-1950
way/150196024,Altstadt,1919,1850-1950
way/150196025,Altstadt,1882,1850-1950
way/150202767,Altstadt,1872,1850-1950
way/150202768,Altstadt,1864,1850-1950
way/151268618,Altstadt,1934,1850-1950
way/151292756,Altstadt,1853,1850-1950
way/151347274,Altstadt,1866,1850-1950
way/151347275,Altstadt,1851,1850-1950
way/151347279,Altstadt,1895,1850-1950
way/151347280,Altstadt,1950,1850-1950
way/151347281,Altstadt,1880,1850-1950
way/151347282,Altstadt,1925,1850-1950
way/151347283,Altstadt,1891,1850-1950
way/151357869,Altstadt,1852,1850-1950
way/151357870,Altstadt,1872,1850-1950
way/151357871,Altstadt,1883,1850-1950
way/151357872,Altstadt,1856,1850-1950
way/151357873,Altstadt,1866,1850-1950
way/151357874,Altstadt,1944,1850-1950
way/151357875,Altstadt,1903,1850-1950
way/151357876,Altstadt,1917,1850-1950
way/151357878,Altstadt,1864,1850-1950
way/151357879,Altstadt,1945,1850-1950
way/151365110,Altstadt,1858,1850-1950
way/151376357,Altstadt,1910,1850-1950
way/151376359,Altstadt,1907,1850-1950
way/151376362,Altstadt,1949,1850-1950
way/151376363,Altstadt,1896,1850-1950
way/151379380,Altstadt,1915,1850-1950
way/151379381,Altstadt,1925,1850-1950
way/151379383,Altstadt,1863,1850-1950
way/151379384,Altstadt,1907,1850-1950
way/151379387,Altstadt,1914,1850-1950
way/151379388,Altstadt,1878,1850-1950
way/151383781,Altstadt,1928,1850-1950
way/151383784,Altstadt,1855,1850-1950
way/151383785,Altstadt,1943,1850-1950
way/151386963,Altstadt,1950,1850-1950
way/151386966,Altstadt,1934,1850-1950
way/151386971,Altstadt,1916,1850-1950
way/151386977,Altstadt,1888,1850-1950
way/151386979,Altstadt,1908,1850-1950
way/151389026,Altstadt,1932,1850-1950
way/151391685,Altstadt,1853,1850-1950
way/151391686,Altstadt,1857,1850-1950
way/152401539,Altstadt,1911,1850-1950
way/152401540,Altstadt,1901,1850-1950
way/152401544,Altstadt,1904,1850-1950
way/152401559,Altstadt,1937,1850-1950
way/152406096,Altstadt,1863,1850-1950
way/152406101,Altstadt,1912,1850-1950
way/152406104,Altstadt,1941,1850-1950
way/152773726,Altstadt,1906,1850-1950
way/154147116,Altstadt,1859,1850-1950
way/154147118,Altstadt,1860,1850-1950
way/154147122,Altstadt,1891,1850-1950
way/154235171,Altstadt,1927,1850-1950
way/154235177,Altstadt,1868,1850-1950
way/154235178,Altstadt,1858,1850-1950
way/154235180,Altstadt,1866,1850-1950
way/154235181,Altstadt,1885,1850-1950
way/154235188,Altstadt,1929,1850-1950
way/154755118,Altstadt,1931,1850-1950
way/155059720,Altstadt,1924,1850-1950
way/155059722,Altstadt,1920,1850-1950
way/155786108,Altstadt,1941,1850-1950
way/155786109,Altstadt,1891,1850-1950
way/155815404,Altstadt,1898,1850-1950
way/155815405,Altstadt,1926,1850-1950
way/155815406,Altstadt,1917,1850-1950
way/155815409,Altstadt,1887,1850-1950
way/155815410,Altstadt,1908,1850-1950
way/156948571,Altstadt,1914,1850-1950
way/158080672,Altstadt,1927,1850-1950
way/159178101,Altstadt,1905,1850-1950
way/159178110,Altstadt,1862,1850-1950
way/159178117,Altstadt,1939,1850-1950
way/159178120,Altstadt,1864,1850-1950
way/159178122,Altstadt,1933,1850-1950
way/159178128,Altstadt,1933,1850-1950
way/159227025,Altstadt,1948,1850-1950
way/159227027,Altstadt,1920,1850-1950
way/159227031,Altstadt,1942,1850-1950
way/159227038,Altstadt,1877,1850-1950
way/159227039,Altstadt,1905,1850-1950
way/159227043,Altstadt,1907,1850-1950
way/159227044,Altstadt,1879,1850-1950
way/159325455,Altstadt,1902,1850-1950
way/159325457,Altstadt,1893,1850-1950
way/159325459,Altstadt,1908,1850-1950
way/159325460,Altstadt,1901,1850-1950
way/159325461,Altstadt,1903,1850-1950
way/159325464,Altstadt,1943,1850-1950
way/159325465,Altstadt,1862,1850-1950
way/159325466,Altstadt,1890,1850-1950
way/159325470,Altstadt,1904,1850-1950
way/159325471,Altstadt,1890,1850-1950
way/159325472,Altstadt,1935,1850-1950
way/159325475,Altstadt,1882,1850-1950
way/159325479,Altstadt,1897,1850-1950
way/159325480,Altstadt,1869,1850-1950
way/159325482,Altstadt,1937,1850-1950
way/159325486,Altstadt,1910,1850-1950
way/159325489,Altstadt,1858,1850-1950
way/159325490,Altstadt,1861,1850-1950
way/159325493,Altstadt,1860,1850-1950
way/159325494,Altstadt,1861,1850-1950
way/159325497,Altstadt,1905,1850-1950
way/159325506,Altstadt,1862,1850-1950
way/159981244,Altstadt,1945,1850-1950
way/159981245,Altstadt,1944,1850-1950
way/159981246,Altstadt,1897,1850-1950
way/159981247,Altstadt,1866,1850-1950
way/159981250,Altstadt,1921,1850-1950
way/159981251,Altstadt,1857,1850-1950
way/159981252,Altstadt,1925,1850-1950
way/159981253,Altstadt,1921,1850-1950
way/159981254,Altstadt,1921,1850-1950
way/159981255,Altstadt,1892,1850-1950
way/159981256,Altstadt,1935,1850-1950
way/159981651,Altstadt,1865,1850-1950
way/159981901,Altstadt,1902,1850-1950
way/159981902,Altstadt,1895,1850-1950
way/159981903,Altstadt,1935,1850-1950
way/159981904,Altstadt,1946,1850-1950
way/159981906,Altstadt,1904,1850-1950
way/159981907,Altstadt,1942,1850-1950
way/159981908,Altstadt,1856,1850-1950
way/159981910,Altstadt,1886,1850-1950
way/159981912,Altstadt,1926,1850-1950
way/159983150,Altstadt,1889,1850-1950
way/159983153,Altstadt,1895,1850-1950
way/159983154,Altstadt,1863,1850-1950
way/159983155,Altstadt,1923,1850-1950
way/159983156,Altstadt,1914,1850-1950
way/159983157,Altstadt,1877,1850-1950
way/159983158,Altstadt,1869,1850-1950
way/159983159,Altstadt,1934,1850-1950
way/159983161,Altstadt,1911,1850-1950
way/159983162,Altstadt,1878,1850-1950
way/159983163,Altstadt,1863,1850-1950
way/159983164,Altstadt,1894,1850-1950
way/159983165,Altstadt,1921,1850-1950
way/159983166,Altstadt,1897,1850-1950
way/159983167,Altstadt,1864,1850-1950
way/159983168,Altstadt,1947,1850-1950
way/159984084,Altstadt,1885,1850-1950
way/159984086,Altstadt,1923,1850-1950
way/159984092,Altstadt,1878,1850-1950
way/159984108,Altstadt,1904,1850-1950
way/159984134,Altstadt,1921,1850-1950
way/159990262,Altstadt,1948,1850-1950
way/159990263,Altstadt,1929,1850-1950
way/159990264,Altstadt,1928,1850-1950
way/159990265,Altstadt,1936,1850-1950
way/159990266,Altstadt,1932,1850-1950
way/159990267,Altstadt,1921,1850-1950
way/159990268,Altstadt,1853,1850-1950
way/159990269,Altstadt,1927,1850-1950
way/159990270,Altstadt,1934,1850-1950
way/159990271,Altstadt,1938,1850-1950
way/159990272,Altstadt,1884,1850-1950
way/159990273,Altstadt,1853,1850-1950
way/159990274,Altstadt,1873,1850-1950
way/159990275,Altstadt,1884,1850-1950
way/159990277,Altstadt,1939,1850-1950
way/159990278,Altstadt,1947,1850-1950
way/159990280,Altstadt,1889,1850-1950
way/159990281,Altstadt,1893,1850-1950
way/159990284,Altstadt,1894,1850-1950
way/159990286,Altstadt,1850,1850-1950
way/159990288,Altstadt,1873,1850-1950
way/159990290,Altstadt,1868,1850-1950
way/159990291,Altstadt,1922,1850-1950
way/159990333,Altstadt,1934,1850-1950
way/159990783,Altstadt,1901,1850-1950
way/159990785,Altstadt,1858,1850-1950
way/159990787,Altstadt,1868,1850-1950
way/159990788,Altstadt,1944,1850-1950
way/159990789,Altstadt,1931,1850-1950
way/159990790,Altstadt,1853,1850-1950
way/159990792,Altstadt,1861,1850-1950
way/159990793,Altstadt,1945,1850-1950
way/159990794,Altstadt,1917,1850-1950
way/159990795,Altstadt,1877,1850-1950
way/159990796,Altstadt,1898,1850-1950
way/159990797,Altstadt,1903,1850-1950
way/160485965,Altstadt,1908,1850-1950
way/160485966,Altstadt,1893,1850-1950
way/160486188,Altstadt,1870,1850-1950
way/160488434,Altstadt,1897,1850-1950
way/160488606,Altstadt,1889,1850-1950
way/160488607,Altstadt,1942,1850-1950
way/160488608,Altstadt,1891,1850-1950
way/160488888,Altstadt,1949,1850-1950
way/160488890,Altstadt,1922,1850-1950
way/160488891,Altstadt,1926,1850-1950
way/160488893,Altstadt,1860,1850-1950
way/160489006,Altstadt,1856,1850-1950
way/160571179,Altstadt,1869,1850-1950
way/160590507,Altstadt,1870,1850-1950
way/160590509,Altstadt,1946,1850-1950
way/160590511,Altstadt,1929,1850-1950
way/160596956,Altstadt,1856,1850-1950
way/160596957,Altstadt,1936,1850-1950
way/160596958,Altstadt,1860,1850-1950
way/161298459,Altstadt,1884,1850-1950
way/161298460,Altstadt,1906,1850-1950
way/161298461,Altstadt,1934,1850-1950
way/161298462,Altstadt,1904,1850-1950
way/161298463,Altstadt,1912,1850-1950
way/161298464,Altstadt,1927,1850-1950
way/161298466,Altstadt,1906,1850-1950
way/161298467,Altstadt,1903,1850-1950
way/161298470,Altstadt,1884,1850-1950
way/161298471,Altstadt,1877,1850-1950
way/161298472,Altstadt,1946,1850-1950
way/161298474,Altstadt,1915,1850-1950
way/161298476,Altstadt,1864,1850-1950
way/161298477,Altstadt,1894,1850-1950
way/161298478,Altstadt,1905,1850-1950
way/161298479,Altstadt,1864,1850-1950
way/161298483,Altstadt,1886,1850-1950
way/161298484,Altstadt,1936,1850-1950
way/161298485,Altstadt,1936,1850-1950
way/161299000,Altstadt,1925,1850-1950
way/161299001,Altstadt,1912,1850-1950
way/161299003,Altstadt,1917,1850-1950
way/161299004,Altstadt,1935,1850-1950
way/161299006,Altstadt,1889,1850-1950
way/161299008,Altstadt,1855,1850-1950
way/161299010,Altstadt,1878,1850-1950
way/161299011,Altstadt,1900,1850-1950
way/161299012,Altstadt,1926,1850-1950
way/161299014,Altstadt,1857,1850-1950
way/161299016,Altstadt,1850,1850-1950
way/161299017,Altstadt,1876,1850-1950
way/161299018,Altstadt,1888,1850-1950
way/161299019,Altstadt,1877,1850-1950
way/161299020,Altstadt,1948,1850-1950
way/161299022,Altstadt,1867,1850-1950
way/161299024,Altstadt,1947,1850-1950
way/161299025,Altstadt,1882,1850-1950
way/161299026,Altstadt,1887,1850-1950
way/161299027,Altstadt,1891,1850-1950
way/161299030,Altstadt,1865,1850-1950
way/161299031,Altstadt,1850,1850-1950
way/161299032,Altstadt,1913,1850-1950
way/161299033,Altstadt,1945,1850-1950
way/161299035,Altstadt,1905,1850-1950
way/161299036,Altstadt,1872,1850-1950
way/161299039,Altstadt,1866,1850-1950
way/161299040,Altstadt,1898,1850-1950
way/161299041,Altstadt,1918,1850-1950
way/161299042,Altstadt,1940,1850-1950
way/161299044,Altstadt,1879,1850-1950
way/161299045,Altstadt,1914,1850-1950
way/161299046,Altstadt,1921,1850-1950
way/161299047,Altstadt,1935,1850-1950
way/161709368,Altstadt,1895,1850-1950
way/161709370,Altstadt,1859,1850-1950
way/161709381,Altstadt,1900,1850-1950
way/161720363,Altstadt,1944,1850-1950
way/161720365,Altstadt,1855,1850-1950
way/161720366,Altstadt,1905,1850-1950
way/161720367,Altstadt,1852,1850-1950
way/161720368,Altstadt,1908,1850-1950
way/161720370,Altstadt,1859,1850-1950
way/161720371,Altstadt,1890,1850-1950
way/161720372,Altstadt,1923,1850-1950
way/161720373,Altstadt,1904,1850-1950
way/161720374,Altstadt,1923,1850-1950
way/165511119,Altstadt,1901,1850-1950
way/165511122,Altstadt,1940,1850-1950
way/165511124,Altstadt,1931,1850-1950
way/168912450,Altstadt,1903,1850-1950
way/168912452,Altstadt,1887,1850-1950
way/168912456,Altstadt,1864,1850-1950
way/168912458,Altstadt,1901,1850-1950
way/168912459,Altstadt,1852,1850-1950
way/168912463,Altstadt,1891,1850-1950
way/168912467,Altstadt,1871,1850-1950
way/168912468,Altstadt,1929,1850-1950
way/168912470,Altstadt,1908,1850-1950
way/168912472,Altstadt,1938,1850-1950
way/168912473,Altstadt,1896,1850-1950
way/168912476,Altstadt,1861,1850-1950
way/168977198,Altstadt,1905,1850-1950
way/168977199,Altstadt,1863,1850-1950
way/168977201,Altstadt,1881,1850-1950
way/168977208,Altstadt,1905,1850-1950
way/168977214,Altstadt,1925,1850-1950
way/168977216,Altstadt,1901,1850-1950
way/168977217,Altstadt,1917,1850-1950
way/168977218,Altstadt,1860,1850-1950
way/170497332,Altstadt,1900,1850-1950
way/170497334,Altstadt,1889,1850-1950
way/171051228,Altstadt,1945,1850-1950
way/175591600,Altstadt,1893,1850-1950
way/175792432,Altstadt,1878,1850-1950
way/175792437,Altstadt,1892,1850-1950
way/175792438,Altstadt,1949,1850-1950
way/175792439,Altstadt,1871,1850-1950
way/176030612,Altstadt,1859,1850-1950
way/176030613,Altstadt,1915,1850-1950
way/176030614,Altstadt,1931,1850-1950
way/176030615,Altstadt,1864,1850-1950
way/176030616,Altstadt,1917,1850-1950
way/176030617,Altstadt,1915,1850-1950
way/176030618,Altstadt,1874,1850-1950
way/176030619,Altstadt,1949,1850-1950
way/176030620,Altstadt,1894,1850-1950
way/176387719,Altstadt,1894,1850-1950
way/176438283,Altstadt,1943,1850-1950
way/176438284,Altstadt,1932,1850-1950
way/176438290,Altstadt,1868,1850-1950
way/176440363,Altstadt,1880,1850-1950
way/177479463,Altstadt,1863,1850-1950
way/177658181,Altstadt,1868,1850-1950
way/177702679,Altstadt,1882,1850-1950
way/177702680,Altstadt,1875,1850-1950
way/177702681,Altstadt,1872,1850-1950
way/177702682,Altstadt,1927,1850-1950
way/177702683,Altstadt,1869,1850-1950
way/179639803,Altstadt,1947,1850-1950
way/179639804,Altstadt,1947,1850-1950
way/179639805,Altstadt,1933,1850-1950
way/179639806,Altstadt,1859,1850-1950
way/179642436,Altstadt,1872,1850-1950
way/179642437,Altstadt,1948,1850-1950
way/179642438,Altstadt,1930,1850-1950
way/180722304,Altstadt,1913,1850-1950
way/180722305,Altstadt,1909,1850-1950
way/180722306,Altstadt,1946,1850-1950
way/180722307,Altstadt,1922,1850-1950
way/180722308,Altstadt,1947,1850-1950
way/180722309,Altstadt,1924,1850-1950
way/180722310,Altstadt,1907,1850-1950
way/180722311,Altstadt,1937,1850-1950
way/180722312,Altstadt,1922,1850-1950
way/180722313,Altstadt,1932,1850-1950
way/180722314,Altstadt,1931,1850-1950
way/180722315,Altstadt,1929,1850-1950
way/180722316,Altstadt,1891,1850-1950
way/180722317,Altstadt,1930,1850-1950
way/180723488,Altstadt,1890,1850-1950
way/180726248,Altstadt,1869,1850-1950
way/180726249,Altstadt,1906,1850-1950
way/180726250,Altstadt,1858,1850-1950
way/180726251,Altstadt,1910,1850-1950
way/180726252,Altstadt,1906,1850-1950
way/180814435,Altstadt,1930,1850-1950
way/180814436,Altstadt,1888,1850-1950
way/180814437,Altstadt,1885,1850-1950
way/180814438,Altstadt,1925,1850-1950
way/180814439,Altstadt,1857,1850-1950
